/!\ Runtimes Updater /!\,Runtimes Patcher,-,a0.0.1,All,Yes,exe,
Microsoft .NET Framework,NET Core (3.1.32 - x64),https://download.visualstudio.microsoft.com/download/pr/b92958c6-ae36-4efa-aafe-569fced953a5/1654639ef3b20eb576174c1cc200f33a/windowsdesktop-runtime-3.1.32-win-x64.exe,3.1.32,x64,No,exe,/install /quiet /norestart,20230831212723
Microsoft .NET Framework,NET Core (3.1.32 - x86),https://download.visualstudio.microsoft.com/download/pr/3f353d2c-0431-48c5-bdf6-fbbe8f901bb5/542a4af07c1df5136a98a1c2df6f3d62/windowsdesktop-runtime-3.1.32-win-x86.exe,3.1.32,x86,No,exe,/install /quiet /norestart,20230501065325
Microsoft .NET Framework,NET Core (3.0.3),https://download.visualstudio.microsoft.com/download/pr/18e13f02-1a28-4fe4-b642-6674408c3673/108e75fd84bf9153ea03ed4011252f9b/dotnet-hosting-3.0.3-win.exe,3.0.3,All,No,exe,/install /quiet /norestart,20230521175453
Microsoft .NET Framework,NET Core (3.0.3 - x64),https://download.visualstudio.microsoft.com/download/pr/c525a2bb-6e98-4e6e-849e-45241d0db71c/d21612f02b9cae52fa50eb54de905986/windowsdesktop-runtime-3.0.3-win-x64.exe,3.0.3,x64,No,exe,/install /quiet /norestart,20230521170240
Microsoft .NET Framework,NET Core (3.0.3 - x86),https://download.visualstudio.microsoft.com/download/pr/e312618d-85c4-4cad-b660-569b5522eca9/e951e76ebe011b5d3ea1289ef68e8281/windowsdesktop-runtime-3.0.3-win-x86.exe,3.0.3,x86,No,exe,/install /quiet /norestart,20230521173120
Microsoft .NET Framework,NET Core (2.2.8),https://download.visualstudio.microsoft.com/download/pr/ba001109-03c6-45ef-832c-c4dbfdb36e00/e3413f9e47e13f1e4b1b9cf2998bc613/dotnet-hosting-2.2.8-win.exe,2.2.8,All,No,exe,/install /quiet /norestart,20230521175319
Microsoft .NET Framework,NET Core (2.1.30),https://download.visualstudio.microsoft.com/download/pr/cf7b17e3-ed6d-4ded-8ae6-9f83ffaaca98/9d2ca844baa4a4a9ed83861ffc8e293e/dotnet-hosting-2.1.30-win.exe,2.1.30,All,No,exe,/install /quiet /norestart,20230521175313
Microsoft .NET Framework,NET Core (2.0.9),https://download.microsoft.com/download/3/a/3/3a3bda26-560d-4d8e-922e-6f6bc4553a84/DotNetCore.2.0.9-WindowsHosting.exe,2.0.9,All,No,exe,/install /quiet /norestart,20230521175400
Microsoft .NET Framework,NET Core (1.1.13 + 1.0.16),https://download.visualstudio.microsoft.com/download/pr/85188c51-c71f-442e-ae3a-f46449564959/690b9e12e7da159576f67afd986b873d/dotnetcore.1.0.16_1.1.13-windowshosting.exe,1.1.13,All,No,exe,/install /quiet /norestart,20230521175443
Microsoft Agent,1 Microsoft Agent (Original),https://cdn.discordapp.com/attachments/677691873157971968/1144408689885851649/MSagent.exe,2.0,All,No,exe,/Q,20230914193208
Microsoft Agent,2 Microsoft Agent Patch (Vista),https://cdn.discordapp.com/attachments/1011464191829360733/1147630804185391126/Agent.exe,6.1.7600.16426,All,No,exe,,20230914193346
Microsoft Agent,3 DoubleAgent_x64x86,https://cdn.discordapp.com/attachments/781314468138450946/1128535623066714122/DoubleAgent_x64x86.msi,1.3.0,All,Yes,msi,/quiet /norestart,20230914193425
Microsoft Agent,4 Speech Control Panel,https://cdn.discordapp.com/attachments/677691873157971968/1144408689218953376/Microsoft_Speech_Control_Panel.exe,4.0,All,No,exe,/Q,20230914193528
Microsoft Agent,5 Speech Recognition Engine,https://cdn.discordapp.com/attachments/677691873157971968/1144408689550295050/Microsoft_Speech_Recognition_Engine.exe,4.0,All,No,exe,/Q,20230914193640
Microsoft Agent,6 TTS Language,https://cdn.discordapp.com/attachments/677691873157971968/1144408688770175186/lemout__hauspie_truvoice_text-to-speech_engine_-_us_english.exe,1.0,All,No,exe,/Q,20230914193726
Microsoft Jet,Jet 4.0 SP8,https://cdn.discordapp.com/attachments/677691873157971968/1144387794022711417/Jet40SP8_9xNT.exe,4.0.800,All,No,exe,/Q,20230914193756
Microsoft Layer for Unicode,Microsoft Layer for Unicode,https://cdn.discordapp.com/attachments/677691873157971968/1144387793636839464/unicows.exe,1.1.3790.0,All,No,exe,20230914193830
Microsoft Report Viewer,Report Viewer 2005,https://cdn.discordapp.com/attachments/677691873157971968/1144387793267736626/ReportViewer.exe,2.0.50727.817,All,No,exe,,20230914193902
Microsoft Report Viewer,Report Viewer 2008,https://cdn.discordapp.com/attachments/677691873157971968/1144389059062550639/ReportViewer_1.exe,9.0.30729.01,All,No,exe,/q,20230914193948
Microsoft Report Viewer,Report Viewer 2010,https://cdn.discordapp.com/attachments/677691873157971968/1144389058697637958/ReportViewer.exe,10.0.40220,All,No,exe,/q /norestart,20230914194039
Microsoft Report Viewer,CLR (x64),https://download.microsoft.com/download/1/3/0/13089488-91FC-4E22-AD68-5BE58BD5C014/ENU/x64/SQLSysClrTypes.msi,12.0.2402,All,No,msi,/quiet /norestart,20230914194109
Microsoft Report Viewer,CLR (x86),https://download.microsoft.com/download/1/3/0/13089488-91FC-4E22-AD68-5BE58BD5C014/ENU/x86/SQLSysClrTypes.msi,12.0.2402,All,No,msi,/quiet /norestart,20230914194147
Microsoft Report Viewer,Report Viewer 2015,https://download.microsoft.com/download/A/1/2/A129F694-233C-4C7C-860F-F73139CF2E01/ENU/x86/ReportViewer.msi,12.0.2402.15,All,Yes,msi,/quiet /norestart,20230914194209
Microsoft WebView2,WebView2,https://msedge.sf.dl.delivery.mp.microsoft.com/filestreamingservice/files/03e33965-9ac7-458c-b6bc-c48177736a31/MicrosoftEdgeWebview2Setup.exe,MSSTORE,All,Yes,exe,/silent /install,20230815104359
Mono Project,Mono (x86),https://download.mono-project.com/archive/6.12.0/windows-installer/mono-6.12.0.199-gtksharp-2.12.45-win32-0.msi,6.12.0,All,Yes,msi,/quiet /norestart,20230913170717
Mono Project,Mono (x64),https://download.mono-project.com/archive/6.12.0/windows-installer/mono-6.12.0.199-x64-0.msi,6.12.0,All,Yes,msi,/quiet /norestart,20230913170627
Mono Project,Mono (GTK),https://objects.githubusercontent.com/github-production-release-asset-2e65be/791219/6a1f781c-81f8-492e-8963-fa79877a1c84?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230914%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230914T194641Z&X-Amz-Expires=300&X-Amz-Signature=d2040410f6cd8b7f190e6f1150ad67082e557577668839621b0b9e0ffc7159e6&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=791219&response-content-disposition=attachment%3B%20filename%3Dgtk-sharp-2.12.45.msi&response-content-type=application%2Foctet-stream,6.12.0,All,Yes,msi,/quiet /norestart,20230914194642
MSXML,MSXML3,https://cdn.discordapp.com/attachments/677691873157971968/1144408690208809000/msxml3.msi,3.7,All,No,msi,/quiet /norestart,20230914194849
MSXML,MSXML4,https://cdn.discordapp.com/attachments/1120554587758276678/1121897967369076897/msxml.msi,4.30.2100.0,All,No,msi,/quiet /norestart,20230914194926
NTVDM,OTVDM,https://objects.githubusercontent.com/github-production-release-asset-2e65be/42936049/14cfc247-381a-430d-8ac7-a02292f15d13?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230914%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230914T195046Z&X-Amz-Expires=300&X-Amz-Signature=fd80071b7e3dd17fe51dbfc84f9d64eab7cc39ce09877de2c8892dd20a8c6626&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=42936049&response-content-disposition=attachment%3B%20filename%3Dotvdm-v0.8.1.zip&response-content-type=application%2Foctet-stream,0.8.1,x64,Yes,zip,,20230914195046
NVIDIA PhysX Engine,NVIDIA PhysX Engine,https://fr.download.nvidia.com/Windows/9.19.0218/PhysX-9.19.0218-SystemSoftware.exe,9.19.0218,All,Yes,exe,-s,20230914195145
OpenAL,OpenAL,https://www.openal.org/downloads/oalinst.zip,1.1,All,Yes,zip,,20230914195235
PowerShell,PowerShell,https://cdn.discordapp.com/attachments/781314468138450946/1128522636008362034/Microsoft.PowerShell_2023.623.206.0_neutral__8wekyb3d8bbwe.Msixbundle,7.3.4,x64,Yes,appx,,20230914195315
Python,Python (ARM64),https://www.python.org/ftp/python/3.11.5/python-3.11.5-arm64.exe,3.11.5,ARM64,Yes,exe,/quiet InstallAllUsers=1 CompileAll=1 PrependPath=1 AppendPath=1 Include_debug=1 Include_symbols=1,20230914200630
Python,Python (x64),https://www.python.org/ftp/python/3.11.5/python-3.11.5-amd64.exe,3.11.5,x64,Yes,exe,/quiet InstallAllUsers=1 CompileAll=1 PrependPath=1 AppendPath=1 Include_debug=1 Include_symbols=1,20230910113803
Python,Python (x86),https://www.python.org/ftp/python/3.11.5/python-3.11.5.exe,3.11.5,x86,Yes,exe,/quiet InstallAllUsers=1 CompileAll=1 PrependPath=1 AppendPath=1 Include_debug=1 Include_symbols=1,20230914200806
Silverlight,Silverlight (x64),https://cdn.discordapp.com/attachments/1120554587758276678/1121897967033528320/Silverlight_x64.exe,5.1.50918,x64,No,exe,/Q,20230914200839
Silverlight,Silverlight (x86),https://cdn.discordapp.com/attachments/677691873157971968/1144408690498207744/Silverlight.exe,5.1.50918,x86,No,exe,/Q,20230914200919
Unity Web Player,Unity Web Player,https://cdn.discordapp.com/attachments/677691873157971968/1144408691190276267/UnityWebPlayerDevelopment.exe,5.3.8f2,All,No,exe,/S,20230914201016
Visual Studio Suite,Visual Basic Classics (1.0),https://cdn.discordapp.com/attachments/677691873157971968/1144409034577940600/vbrun100.exe,1.0,All,No,exe,,20230914201051
Visual Studio Suite,Visual Basic Classics (2.0),https://cdn.discordapp.com/attachments/677691873157971968/1144409034892525739/vbrun200.exe,2.0,All,No,exe,,20230914201126
Visual Studio Suite,Visual Basic Classics (3.0),https://cdn.discordapp.com/attachments/677691873157971968/1144409035261616260/vbrun300.exe,3.0,All,No,exe,,20230914201154
Visual Studio Suite,Visual Basic 4.0,https://cdn.discordapp.com/attachments/677691873157971968/1144409035580379186/VBRun400.exe,4.0,All,No,exe,/Q,20230914201317
Visual Studio Suite,Visual Basic 5.0,https://cdn.discordapp.com/attachments/677691873157971968/1144408688430424175/VBR50sp3.exe,5.0,All,No,exe,/Q,20230914201356
Visual Studio Suite,Visual Basic 6.0,https://cdn.discordapp.com/attachments/677691873157971968/1144409034250788914/vbrun60.exe,6.0,All,No,exe,/Q,20230914201450
Visual Studio Suite,Visual Basic 6.0 SP6,https://cdn.discordapp.com/attachments/677691873157971968/1144408691714556054/VB6.0-KB290887-X86.exe,6.6,All,No,exe,,20230914201602
Visual Studio Suite,Visual C++ AIO,https://objects.githubusercontent.com/github-production-release-asset-2e65be/167310144/122ea790-c117-4c2a-b8db-e7d978b96fff?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230914%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230914T201707Z&X-Amz-Expires=300&X-Amz-Signature=911757e95282bcbc610729a298c1d06f9178bb4efb4bfd4c740fb8c227b77cd5&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=167310144&response-content-disposition=attachment%3B%20filename%3DVisualCppRedist_AIO_x86_x64.exe&response-content-type=application%2Foctet-stream,0.75.0,All,Yes,exe,/ai /gm2,20230914201707
Visual Studio Suite,Visual J# Redistributable,https://download.microsoft.com/download/9/a/0/9a01eb1e-fe80-41af-a3f8-ea41220918f7/vjredist.exe,2.0,All,No,exe,,20230914201833
Windows Enhancement Pack,Windows Features,__DISM__,-,All,No,-,,
Windows Media Suite,Windows 10 DVD Player,https://garyan2.github.io/downloads/Win10/windows10.0-kb3106246-x64.msi,3.6.13291,All,Yes,msi,/quiet /norestart,20230914201905
Windows Media Suite,Windows Media Center,https://objects.githubusercontent.com/github-production-release-asset-2e65be/458884000/09ba81ba-21a5-4f08-8c3f-996a30c955e2?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230914%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230914T201946Z&X-Amz-Expires=300&X-Amz-Signature=4036215992e6f2870fd194fe8fcbd050fff6d0cf2945a6791fc55b126833f675&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=458884000&response-content-disposition=attachment%3B%20filename%3Dwmcsetup-x64.msi&response-content-type=application%2Foctet-stream,8.9.1,All,Yes,msi,/quiet /norestart,20230914201946
Windows Media Suite,Windows Media Encoder 9,https://cdn.discordapp.com/attachments/677691873157971968/1144409033864921208/WMEncoder.exe,9.00.00.2980,All,No,exe,,20230914202347
Windows Media Suite,VIExt,https://cdn.discordapp.com/attachments/677691873157971968/1148309490643501197/VIExt.zip,MSSTORE,All,Yes,zip,,20230914202419
XNA Framework,Microsoft XNA Framework,https://download.microsoft.com/download/A/C/2/AC2C903B-E6E8-42C2-9FD7-BEBAC362A930/xnafx40_redist.msi,4.0.30901.0,All,No,msi,/quiet /norestart,20230716052825
